date,label,run,scenario,ws,privws,commit,peakws,threads,handles,children,tree_ws,tree_privws,tree_commit,note
2026-09-25 10:56,v0.6.1,2,S3,159.8,81.9,191.1,162.8,16,492,2,18.3,3.6,5.9,
2026-09-25 11:01,v0.5.0,1,S1,101.3,48.5,184.8,112.6,16,455,2,18.4,3.5,5.8,
2026-09-25 11:02,v0.5.0,1,S3,149,96,208.2,150.5,15,458,2,18.5,3.6,5.8,
2026-09-25 11:02,v0.5.0,2,S1,89.9,48.4,184.8,100.7,16,456,2,18.4,3.5,5.9,
2026-09-25 11:03,v0.5.0,2,S3,149.6,96.6,208.8,150.4,15,458,2,18.5,3.6,5.9,
2026-09-25 11:11,main,1,S1,127,49.3,182.1,127.7,18,487,2,18.2,3.5,5.8,Bisect mode (one tab)
2026-09-25 11:11,main,1,S3,159.8,82.1,191.3,162.6,15,489,2,18.3,3.5,5.8,Bisect mode (one tab)
2026-09-25 11:12,main,2,S1,127.2,49.5,182.3,127.8,18,486,2,18.2,3.5,5.9,Bisect mode (one tab)
2026-09-25 11:12,main,2,S3,159.6,81.9,191,162.2,15,489,2,18.3,3.5,5.9,Bisect mode (one tab)
2026-09-25 12:09,s6-default,1,S1,92.6,49.1,182,100.4,17,462,2,18.2,3.5,5.9,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:13,s6-default,1,S6,139,94.4,239.2,139.7,19,481,4,36.7,7.2,11.9,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:14,s6-50k,1,S1,94.8,51.3,184.1,101.8,17,463,2,18.2,3.5,5.8,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:18,s6-50k,1,S6,200.6,155.9,298.3,201.8,18,481,4,36.7,7.2,11.8,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:20,s6-100k,1,S1,97.8,54.3,187.1,104.6,17,461,2,18.2,3.5,5.9,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:24,s6-100k,1,S6,262.6,218,361.6,263.6,18,477,4,36.7,7.2,11.8,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:25,s6-default,2,S1,93,49.4,182.1,100,17,461,2,18.2,3.5,5.8,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:29,s6-default,2,S6,138.7,93.9,236.3,140.3,17,475,6,36.7,7.2,11.8,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:30,s6-50k,2,S1,95,51.5,184.2,101.8,17,465,2,18.2,3.5,5.8,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:34,s6-50k,2,S6,197.9,153.2,297.8,198.8,18,479,4,36.7,7.2,11.8,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:35,s6-100k,2,S1,98,54.5,187.3,104.9,17,461,2,18.2,3.5,5.9,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
